City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
busselton,-33.65,75.45,76,44,9.98
sandpoint,48.28,28.4,79,1,9.17
cape town,-33.93,68,72,0,9.17
gold coast,-28,80.6,74,0,17.22
ushuaia,-54.8,42.8,75,40,20.8
port macquarie,-31.43,80.6,42,44,13.87
hobart,-42.88,62.6,42,40,13.87
saskylakh,71.92,-11.81,58,64,4.72
luba,3.46,78.8,88,20,6.93
deep river,46.1,21.2,85,90,5.82
khatanga,71.97,-19.59,29,68,1.92
nova olimpia,-14.8,78.06,94,32,2.59
xining,36.62,16.5,34,0,3.6
teacapan,22.55,68.07,82,32,2.04
korla,41.76,9.12,69,0,2.93
riyadh,24.69,50,37,24,9.17
biltine,14.53,64.29,36,0,15.23
usinsk,65.99,19.52,89,88,5.84
kenai,60.55,33.8,100,90,11.41
yerofey pavlovich,53.97,-22.29,30,36,2.15
zhigansk,66.77,-24.63,37,44,8.75
bluff,-46.6,65.91,88,92,7.85
lebu,-37.62,53.4,98,0,19.48
bethel,41.37,36.79,51,40,5.82
vanimo,-2.67,84.9,100,32,11.21
kavieng,-2.57,82.47,100,88,4.38
carnarvon,-24.87,83.91,64,0,8.19
bengkulu,-3.8,83.01,98,48,10.98
geraldton,-28.77,100.4,42,0,24.16
rikitea,-23.12,78.6,98,80,13.67
viedma,-40.81,66.09,53,36,12.66
hithadhoo,-0.6,82.29,99,44,8.41
barrow,71.29,8.6,84,90,20.8
esperance,-33.87,75.05,54,0,4.61
touros,-5.2,78.15,92,92,8.63
thompson,55.74,-2.21,77,20,4.7
lovozero,68,13.08,86,88,2.37
jamestown,42.1,24.22,85,90,12.75
derzhavinsk,51.1,16.95,78,88,15.46
pingliang,35.54,21.72,63,68,3.38
vieques,18.43,78.8,83,40,9.17
mogadishu,2.04,80.72,98,0,22.06
albany,42.65,31.32,63,20,8.05
gubkinskiy,64.43,20.1,88,76,8.3
atuona,-9.8,80.72,100,8,18.25
ewa beach,21.32,77,61,75,9.17
karratha,-20.74,98.13,33,24,5.17
kahului,20.89,73.92,60,20,9.17
neiafu,-18.65,78.8,88,75,4.7
port alfred,-33.59,69.78,83,0,20.38
keroka,-0.78,58.58,92,8,3.71
abbeville,50.1,38.08,56,75,13.87
taitung,22.76,68,64,75,12.75
sibolga,1.74,77.25,86,24,1.59
saldanha,-33.01,64.4,82,0,16.11
guerrero negro,27.98,63.66,49,0,19.15
morgan city,29.7,43.39,87,90,13.87
kapaa,22.08,74.59,78,75,8.05
dikson,73.51,-0.78,100,8,14.23
masvingo,-20.06,56.1,97,92,11.77
yulara,-25.24,80.6,28,0,13.87
inirida,3.87,72.93,97,68,2.37
nioro,13.35,65.73,48,0,8.97
santiago del estero,-27.8,86.25,46,88,9.64
adrar,27.87,48.2,61,0,18.34
avarua,-21.21,75.2,94,90,2.24
sunnyvale,37.37,54.43,84,90,2.15
nome,64.5,19.4,85,1,16.11
kerema,-7.96,84.23,73,68,2.71
punta arenas,-53.15,44.6,70,40,18.34
luena,-11.78,62.31,99,92,3.94
dezhou,37.45,37.97,37,0,9.31
talnakh,69.49,-6.36,73,36,2.59
ilulissat,69.22,35.6,69,88,16.11
codrington,-38.27,60.47,95,12,12.77
salalah,17.02,71.6,43,0,8.05
fare,-16.7,83.15,93,44,13.89
hilo,19.73,67.03,57,1,8.05
sambava,-14.27,76.08,100,100,7.52
turayf,31.67,32,66,0,4.7
chuy,-33.7,62.94,94,0,5.17
tasiilaq,65.61,24.8,45,0,8.05
qaanaaq,77.48,12.18,96,80,14.9
lang son,21.83,54.66,82,68,14.12
ponta do sol,32.67,64.4,55,75,4.7
tuatapere,-46.13,66.81,78,92,6.96
taltal,-25.4,52.68,77,0,2.15
fortuna,40.6,48.2,87,1,8.05
buchanan,5.88,77,94,40,5.95
comodoro rivadavia,-45.87,71.6,35,0,17.22
cherskiy,68.75,-12.71,60,32,2.48
souillac,-20.52,73.4,94,75,3.36
vaini,-21.2,82.4,65,75,3.6
georgetown,6.8,75.2,94,40,4.7
olonets,60.98,20.46,86,92,7.85
lavrentiya,65.58,25.55,100,12,13.56
maniitsoq,65.42,33.2,93,92,22.62
vila franca do campo,37.72,66.2,82,40,18.34
new norfolk,-42.78,62.6,42,40,13.87
paramonga,-10.67,62.58,97,100,8.86
hermanus,-34.42,62.45,83,0,2.37
alofi,-19.06,77.03,100,92,8.41
karpathos,35.51,51.8,76,0,2.24
kununurra,-15.77,93.2,59,36,11.41
sorland,67.67,40.71,100,92,35.48
college station,30.63,33.82,91,90,6.93
tungawan,7.51,81.66,91,88,3.38
castro,-24.79,61.68,99,92,3.94
dano,11.15,63.08,58,0,3.15
hurricane,37.18,46.4,19,1,16.11
saint-philippe,-21.36,77,53,0,4.7
kamariotissa,40.48,35.6,93,0,8.97
basco,20.45,75.09,100,76,34.92
arlit,18.74,54.03,55,0,4.61
husavik,66.04,26.6,53,90,9.17
yellowknife,62.46,5,84,5,6.93
bredasdorp,-34.53,57.2,93,0,4.7
saint-joseph,-21.37,77,53,0,4.7
ostrovnoy,68.05,21.36,89,76,3.49
puerto ayora,-0.74,71.63,99,0,11.21
ilhabela,-23.78,71.13,98,80,7.18
tuktoyaktuk,69.45,6.8,92,90,10.29
gorontalo,0.54,85.62,77,12,2.59
butaritari,3.07,82.7,100,64,13.44
ranfurly,-45.13,66.27,62,92,6.62
kesinga,20.2,68.16,68,56,7.52
mount gambier,-37.83,61.82,69,32,6.4
aklavik,68.22,3.2,84,40,4.7
bambous virieux,-20.34,73.4,94,75,3.36
kruisfontein,-34,64.92,83,0,14.45
ahipara,-35.17,73.7,62,56,7.74
klaksvik,62.23,30.2,80,92,33.33
hamilton,43.23,25.92,68,75,10.29
stillwater,36.12,21.22,67,1,2.59
east london,-33.02,71.31,98,12,27.76
san cristobal,7.77,78.8,88,40,2.24
tessalit,20.2,49.58,63,0,2.71
kalmunai,7.42,76.58,92,8,4.27
buturlino,55.57,18.93,91,80,6.51
kavaratti,10.57,81.3,100,64,4.5
sitka,57.05,47.71,35,1,20.8
senador jose porfirio,-2.59,80.31,84,8,5.95
gazanjyk,39.24,30.77,92,92,3.04
ribeira grande,38.52,67.67,94,88,29.1
dumai,1.68,81.8,83,80,3.38
ancud,-41.87,52.86,85,64,2.93
ojinaga,29.57,26.76,92,80,7.85
trelew,-43.25,60.92,57,0,2.71
harnosand,62.63,36.54,93,0,11.41
naze,28.37,55.4,87,75,19.46
tiarei,-17.53,84.2,70,75,11.41
guiratinga,-16.35,73.92,93,76,2.59
provideniya,64.38,26.6,68,75,17.9
port elizabeth,-33.92,62.6,88,0,10.29
doka,13.52,66.09,65,0,9.98
port lincoln,-34.73,63.3,89,8,10.65
